region,cape_j_kg,lifted_index,precipitable_water_mm,wind_shear_0_6km_kts,rh_850hpa_pct,temp_anomaly_c,radar_reflectivity_dbz,rain_rate_mm_hr,rainfall_3h_accum_mm,cloud_top_temp_c,pressure_trend_3h_hpa,wind_gust_kmh,surface_temp_c,layer1_synoptic_instability,layer2_mesoscale_trigger,composite_risk_score,hazard_type
North (Delhi / Dehradun / Srinagar),574.4,3.51,56.0,20.3,58.6,1.37,0.0,5.7,11.0,-22.9,0.67,20.8,22.0,31.4,7.6,14.7,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1189.5,2.63,49.5,18.6,57.4,3.49,27.6,3.8,7.4,-10.4,0.13,45.3,31.3,39.8,20.8,26.5,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),900.2,2.7,35.2,32.9,65.1,-2.22,9.0,13.4,31.6,-39.3,-0.76,36.7,13.1,35.6,23.0,26.8,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1589.1,4.22,63.8,19.1,81.1,-1.03,8.6,7.1,12.2,4.1,0.53,22.0,23.9,48.3,7.3,19.6,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),755.2,4.55,59.3,48.5,75.2,-0.94,11.2,1.3,3.1,-6.2,3.26,25.8,23.6,38.7,10.2,18.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),995.8,4.86,54.5,13.0,82.9,1.18,31.1,8.0,10.6,-15.2,0.31,18.5,28.2,34.3,24.9,27.7,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1257.3,4.1,41.9,26.2,49.6,2.34,34.6,8.3,10.3,-10.2,-1.36,12.4,27.6,33.3,28.4,29.9,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),709.2,4.33,29.1,29.3,93.7,-3.33,25.8,7.0,10.1,-27.5,0.76,32.2,34.9,33.2,22.7,25.8,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),983.9,5.18,63.2,38.9,94.0,0.1,11.8,3.0,5.9,8.6,2.16,33.0,34.2,41.6,10.3,19.7,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1449.1,2.52,54.2,12.6,78.8,0.56,20.9,7.6,17.4,16.4,0.92,18.2,31.5,40.1,15.7,23.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),3117.8,-0.44,39.2,36.6,56.6,2.44,44.3,1.5,3.9,-78.6,1.76,46.0,28.4,63.7,42.6,48.9,MODERATE_RAIN_SHOWERS
East (Kolkata / Bhubaneswar / Patna),712.4,3.73,38.1,61.7,85.9,-1.47,21.1,1.7,2.7,-3.3,-1.34,155.0,41.4,44.7,28.8,33.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),903.3,5.87,24.9,34.2,50.2,2.11,18.5,4.2,6.9,-1.7,0.11,15.0,44.5,25.7,14.2,17.7,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),2197.5,1.48,52.6,11.2,63.7,1.14,38.9,0.1,0.2,-48.6,4.24,17.3,28.1,48.1,31.2,36.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2536.0,1.65,44.4,17.1,74.4,4.4,38.9,4.2,6.9,-69.5,0.57,11.2,20.9,52.6,37.1,41.8,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),1784.7,1.73,47.6,22.2,72.4,5.33,20.4,1.5,2.7,-25.0,-2.2,22.6,40.5,49.4,16.8,26.6,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2496.5,2.02,55.0,14.4,54.8,2.25,50.0,44.0,90.7,-49.8,-1.47,10.0,36.4,45.9,57.5,54.0,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),682.6,5.56,52.1,42.3,65.4,-0.07,24.9,2.1,4.2,-35.1,3.41,23.0,40.7,33.9,24.3,27.2,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),2352.5,-0.66,29.8,8.0,68.7,1.58,34.6,5.5,7.1,-64.0,-0.45,49.5,27.7,50.0,35.6,39.9,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2026.5,1.95,42.3,12.2,57.9,1.78,40.3,1.3,2.5,-62.2,1.16,38.4,34.0,43.9,35.7,38.1,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),551.6,5.04,47.8,15.3,44.0,1.66,9.9,1.6,3.6,7.4,-1.46,10.0,32.3,23.3,6.6,11.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1006.1,3.63,48.8,34.9,64.1,1.42,13.9,0.8,1.7,-7.2,-2.32,34.1,20.7,42.4,16.2,24.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),195.3,7.27,19.7,21.8,80.4,1.68,19.9,1.1,2.3,-21.0,-2.67,21.8,27.9,18.7,18.1,18.2,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1380.6,1.78,27.9,31.9,53.7,2.81,31.6,0.5,0.6,-16.8,0.42,18.6,25.7,41.1,20.5,26.7,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),2326.4,0.81,51.2,21.6,74.8,5.34,45.8,17.6,33.8,-49.8,3.99,42.1,22.4,53.6,45.2,47.7,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),870.5,3.24,51.0,24.7,51.1,-3.48,35.8,7.3,11.5,-36.5,0.3,10.0,24.0,30.1,28.8,29.2,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),603.2,6.03,64.5,15.9,89.4,3.36,18.6,1.3,3.0,-22.7,0.73,81.0,31.1,29.2,22.8,24.7,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),571.1,3.62,20.3,27.9,73.1,0.81,7.3,1.4,1.8,-2.5,-0.8,10.1,28.2,28.6,6.7,13.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1244.8,1.31,54.6,34.2,57.2,-1.24,14.7,9.6,19.7,-24.1,-2.04,11.9,31.0,42.2,19.8,26.5,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1774.7,2.97,47.3,11.2,86.4,-2.47,9.0,0.4,0.5,15.3,-1.77,36.2,27.5,43.5,14.1,22.9,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),3157.4,-0.48,27.3,16.4,59.7,1.17,40.5,0.4,0.7,-61.3,-2.62,76.5,32.3,54.5,42.4,46.0,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),179.0,6.89,17.3,24.8,58.3,0.58,45.2,19.2,24.0,-30.3,-1.08,36.7,22.6,17.5,40.5,33.6,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),2927.6,1.12,55.2,27.3,78.8,-1.87,33.3,1.2,2.2,-39.8,-1.79,18.4,19.8,66.7,27.9,39.5,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1429.5,3.09,28.2,10.6,82.3,0.43,35.7,3.0,6.4,-20.5,-0.14,38.0,26.4,35.7,29.0,31.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2259.2,-0.25,23.6,46.7,79.7,2.78,44.7,2.4,4.1,-34.4,3.27,59.2,20.3,56.9,36.2,42.4,MODERATE_RAIN_SHOWERS
West (Mumbai / Ahmedabad / Jaipur),1953.3,0.66,48.3,19.7,60.0,3.91,30.7,3.2,8.2,7.4,2.43,12.0,29.0,46.5,19.6,27.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1296.4,1.28,41.9,17.2,94.0,0.78,15.1,0.4,0.6,-43.0,-0.74,10.6,29.1,37.2,18.3,24.0,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1263.9,3.31,50.0,65.0,90.1,0.77,42.8,1.9,3.1,4.0,-1.96,15.3,36.9,52.3,25.7,33.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1618.2,1.97,48.0,27.2,67.3,1.87,21.2,4.1,9.6,-20.6,0.67,44.5,29.1,47.3,16.0,25.4,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1060.3,3.66,85.0,30.0,82.9,3.06,14.7,1.0,1.5,14.2,-4.79,10.0,22.9,46.3,19.4,27.5,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1119.6,3.97,52.1,23.5,45.8,0.9,10.0,0.7,1.5,-8.1,0.26,47.6,26.5,35.1,9.3,17.0,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1829.6,4.62,51.2,20.5,85.5,1.27,11.4,2.3,5.6,-7.2,-3.68,28.0,34.4,47.0,13.5,23.5,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),710.5,5.28,29.6,28.5,32.4,-0.38,10.0,11.5,18.1,-14.5,-0.01,10.0,15.5,20.0,11.9,14.3,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2390.8,1.3,63.9,9.2,89.8,0.15,44.1,11.9,25.5,-73.6,1.78,32.5,28.7,57.2,45.8,49.3,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),2270.8,-0.42,34.9,21.7,86.2,-0.9,48.7,27.3,49.7,-53.1,1.26,10.5,24.0,48.6,48.7,48.7,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),906.6,4.22,29.3,13.2,90.9,-1.78,20.8,1.2,2.4,-19.7,2.3,21.3,35.5,31.0,14.8,19.7,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1841.0,3.38,39.0,13.9,67.4,-2.15,60.2,17.5,35.4,-23.3,-0.88,23.8,28.7,38.4,49.6,46.3,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1696.4,3.08,48.2,8.2,85.7,-1.4,40.8,13.1,19.4,-21.8,0.04,15.0,19.9,41.2,32.1,34.8,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),840.8,3.06,35.5,13.6,49.3,-1.55,10.2,4.6,10.9,-17.2,-0.34,36.7,37.3,27.9,14.6,18.6,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1926.2,1.7,29.7,14.2,37.2,1.16,38.8,3.8,9.7,1.5,0.65,26.6,32.6,38.9,24.5,28.8,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),3055.9,-0.02,29.4,5.0,65.4,1.49,43.1,0.5,1.0,-77.7,-3.18,11.9,20.1,50.8,43.7,45.8,MODERATE_RAIN_SHOWERS
East (Kolkata / Bhubaneswar / Patna),2440.6,0.63,44.9,45.0,66.6,-0.43,50.0,23.6,32.6,-46.0,-0.57,33.1,27.6,63.2,45.5,50.8,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),410.5,4.44,49.8,31.3,74.8,-1.35,17.5,5.8,13.0,-10.0,-0.15,27.8,33.2,27.1,17.3,20.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1733.8,-0.04,51.0,9.9,90.6,5.23,22.3,0.8,1.1,-16.0,0.23,16.3,31.5,48.4,17.1,26.5,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),2205.4,0.67,20.2,11.9,55.5,-0.47,53.6,40.0,50.3,-65.9,-2.12,39.4,32.6,41.0,58.0,52.9,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),801.8,4.7,30.4,9.9,62.2,-0.81,20.3,3.4,6.2,2.4,2.1,10.0,19.7,23.3,11.1,14.8,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2391.1,2.27,55.0,16.0,37.0,-2.96,46.1,45.0,96.9,-51.5,-0.43,29.5,12.1,49.3,57.8,55.2,MODERATE_RAIN_SHOWERS
West (Mumbai / Ahmedabad / Jaipur),736.6,4.62,36.1,15.6,53.1,1.64,29.2,16.3,30.9,-5.4,0.44,17.1,39.3,24.8,26.0,25.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1052.9,5.17,44.8,63.9,86.3,4.5,29.5,0.7,1.1,12.0,-2.84,55.2,35.9,41.5,24.5,29.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),758.0,4.39,78.8,16.0,48.6,0.09,25.5,13.4,25.1,-12.4,-1.93,14.2,28.2,37.2,26.4,29.6,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),668.7,3.61,12.0,26.0,74.6,-0.26,40.3,0.7,1.0,-13.6,-0.94,29.3,33.5,22.6,28.7,26.9,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1616.5,2.2,40.2,12.1,82.7,1.11,35.7,2.7,6.8,-37.9,3.05,43.4,23.9,42.4,33.0,35.8,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),442.3,5.71,51.9,33.0,71.4,1.18,38.5,17.4,31.4,6.5,1.07,35.9,29.4,28.7,30.3,29.8,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1093.6,3.49,28.3,15.7,64.0,-4.99,15.8,0.9,1.4,-26.7,2.92,27.8,19.7,32.3,15.6,20.6,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1617.1,1.99,40.1,8.1,85.1,1.92,11.3,5.4,12.3,-4.9,-2.39,10.0,41.8,42.5,11.9,21.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),765.8,2.6,25.2,14.0,56.2,4.63,27.1,2.9,5.6,5.5,3.78,10.0,40.7,25.0,16.9,19.3,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2643.2,-0.36,50.1,13.4,65.5,0.62,41.3,2.2,3.1,-81.2,1.04,10.0,40.4,53.3,39.4,43.6,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),1153.9,3.22,32.6,27.7,51.7,0.26,13.0,2.2,2.9,-55.8,1.76,34.7,28.8,41.5,19.3,25.9,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),3348.3,-1.39,36.0,20.9,71.2,2.25,56.6,25.8,40.6,-61.9,-3.47,35.4,31.7,62.8,56.2,58.2,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),401.3,4.03,54.6,24.2,87.4,1.99,5.1,5.8,13.2,11.0,-3.34,27.8,16.9,30.0,16.4,20.5,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1657.7,4.55,49.8,35.8,67.5,0.88,20.2,1.6,2.9,-6.9,-1.74,102.2,27.5,41.3,23.0,28.5,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1452.7,3.82,55.6,6.2,31.7,2.2,9.7,21.9,32.0,-22.6,0.55,28.7,19.2,28.0,19.4,22.0,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),974.7,6.68,66.6,17.9,78.5,2.31,28.6,9.5,11.9,-23.1,1.24,57.0,34.9,37.4,27.2,30.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1301.6,1.47,43.0,15.3,78.2,-2.08,32.7,2.7,4.7,-21.3,-0.18,22.4,19.1,36.6,22.4,26.7,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1815.3,2.75,71.6,27.6,70.7,-2.03,1.1,3.1,4.7,12.0,-2.39,39.4,25.0,47.4,7.1,19.2,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),2032.6,1.41,44.7,26.0,83.9,-2.34,0.0,5.2,13.0,-68.1,2.09,29.7,33.9,50.8,16.7,26.9,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1179.8,3.66,60.4,5.7,33.4,-2.83,41.4,1.4,2.1,-21.4,0.59,22.4,26.1,35.1,27.5,29.8,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1671.3,4.88,41.6,26.3,81.5,2.28,11.1,2.8,6.0,-8.7,-2.81,26.5,29.3,39.9,11.2,19.8,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),707.9,2.5,53.8,13.1,80.5,2.29,18.0,1.7,2.6,-22.7,-3.98,15.6,29.1,34.5,23.0,26.5,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2057.0,1.2,36.0,40.9,78.1,1.49,12.4,2.2,2.9,-56.0,-1.49,74.7,25.1,51.9,24.4,32.7,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2957.5,-0.81,60.8,19.1,67.4,4.16,46.0,16.7,20.3,-57.8,-2.24,17.5,32.1,60.9,42.9,48.3,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),2154.6,1.01,58.1,12.8,68.1,-0.18,34.4,2.8,4.4,-71.1,-0.26,27.5,25.1,51.8,36.3,40.9,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),759.2,1.95,39.0,41.2,85.6,-1.02,20.2,7.2,17.8,-18.6,0.27,75.9,33.0,39.8,26.2,30.3,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),625.2,6.29,44.2,11.8,72.7,0.77,31.5,0.9,1.3,-28.5,-1.23,10.0,20.2,24.6,27.9,26.9,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),4609.1,-1.63,28.8,35.3,84.2,3.01,48.8,21.2,41.9,-56.5,0.63,102.2,29.5,80.1,53.7,61.6,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),2840.4,1.02,55.0,28.0,82.3,-0.8,54.7,32.5,50.0,-58.0,-0.4,33.5,35.0,64.0,55.2,57.8,MODERATE_RAIN_SHOWERS
East (Kolkata / Bhubaneswar / Patna),2037.2,0.32,53.8,42.0,60.8,4.77,30.9,0.8,1.8,-53.8,-2.96,48.1,32.6,58.7,36.9,43.4,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),3075.0,0.18,24.7,28.6,75.2,0.34,47.7,24.7,56.1,-68.2,-1.25,10.0,25.2,60.2,53.3,55.4,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1273.5,4.49,72.4,37.4,91.2,1.63,18.3,9.4,14.1,15.2,-0.22,61.8,27.3,43.1,17.5,25.2,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2014.1,2.44,47.6,22.8,75.6,0.86,33.8,12.1,15.4,-61.0,-2.53,32.3,35.5,46.2,39.9,41.8,MODERATE_RAIN_SHOWERS
West (Mumbai / Ahmedabad / Jaipur),2626.4,0.69,38.7,48.4,85.6,-0.37,54.8,39.8,55.0,-72.6,0.21,80.7,27.6,60.2,59.4,59.7,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1060.0,5.57,58.8,19.8,82.3,2.5,23.9,4.3,8.1,-36.9,4.5,38.1,23.7,39.9,25.8,30.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1733.0,1.68,34.7,8.2,65.5,-5.0,25.2,0.8,1.3,-26.0,2.77,17.0,13.4,39.8,19.6,25.7,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),2451.9,0.89,60.3,8.4,78.5,-0.24,45.9,48.0,64.5,-64.2,1.07,23.7,28.0,57.6,51.4,53.3,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),591.8,5.57,25.5,6.0,61.1,2.25,9.5,0.1,0.1,-21.1,2.69,39.8,37.6,19.9,14.2,15.9,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),987.9,4.41,38.9,55.7,66.0,-2.69,17.0,3.1,6.2,-16.5,0.69,37.8,17.3,34.6,16.6,22.0,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),2418.6,1.83,40.8,20.9,46.6,-1.04,34.6,0.8,2.1,-61.5,0.37,21.6,32.2,42.9,31.5,34.9,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1478.4,3.68,34.4,5.5,58.2,-0.58,23.0,11.7,29.1,-38.7,-0.26,13.5,43.4,31.5,28.2,29.2,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1353.4,3.92,31.7,28.7,47.0,-0.23,12.0,4.3,10.6,-41.3,1.97,21.2,28.6,27.8,17.0,20.2,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1249.6,3.06,35.2,16.4,58.6,-0.83,8.5,8.4,11.0,-35.0,1.12,26.2,33.8,27.9,14.4,18.5,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),2572.1,0.02,34.5,42.0,28.9,-1.74,33.4,2.3,3.1,-74.4,-2.93,54.7,25.9,60.2,40.3,46.3,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),642.2,4.88,35.4,30.6,51.6,0.34,22.1,5.4,11.8,-23.3,-1.79,20.0,34.6,28.7,24.6,25.8,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),941.6,5.93,62.1,28.0,83.6,2.27,41.6,4.9,11.9,-21.0,3.57,14.6,32.6,39.6,33.1,35.0,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),439.1,5.09,48.1,14.3,31.6,1.34,10.7,7.9,12.8,-4.2,-0.6,55.6,33.6,21.9,13.9,16.3,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1037.5,4.64,40.8,57.9,64.8,2.76,31.8,0.2,0.3,4.0,0.19,25.9,30.2,42.3,23.9,29.5,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1431.7,3.27,52.7,23.9,94.2,0.06,8.6,3.1,5.4,-36.5,-1.71,10.0,31.5,48.2,16.4,25.9,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),259.9,7.92,40.7,30.5,58.1,3.27,32.4,5.6,7.8,-35.5,2.15,10.0,40.2,26.5,25.4,25.8,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),716.1,4.4,30.9,12.4,56.7,-2.31,16.5,16.4,29.3,-36.8,0.64,40.7,31.1,23.6,25.8,25.1,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1476.9,3.77,19.5,17.8,47.4,3.38,23.0,4.9,8.8,-42.9,-0.47,19.8,34.1,34.1,23.1,26.4,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1715.8,1.71,55.8,7.4,80.0,2.9,31.7,3.6,7.6,-5.7,0.74,26.2,34.7,42.4,22.4,28.4,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),3492.8,-2.33,12.0,17.7,66.9,-2.97,48.6,27.0,60.8,-82.5,-0.89,10.0,29.2,54.1,54.7,54.5,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),1879.2,2.23,20.9,26.9,88.8,1.53,26.7,1.5,3.5,-36.2,-1.24,13.8,30.7,43.5,24.8,30.4,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1149.0,5.12,49.1,5.6,66.4,0.22,25.1,0.6,0.8,-23.1,-2.94,22.6,25.7,31.7,25.1,27.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1406.6,3.95,41.8,8.4,95.7,0.27,44.4,10.2,21.1,-21.9,0.73,25.3,31.5,39.2,32.6,34.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1438.4,0.62,62.4,12.2,21.9,0.65,9.9,0.8,1.2,-3.4,2.15,37.2,29.5,41.0,7.7,17.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),942.6,4.99,33.0,11.1,94.3,-0.86,22.4,5.1,11.6,-5.4,0.47,13.2,19.8,27.9,13.1,17.5,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1518.1,1.13,52.8,9.7,87.2,2.57,24.1,6.2,11.8,-32.9,-1.68,88.1,31.6,41.8,28.7,32.6,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),910.6,5.19,39.5,14.4,76.3,0.51,14.2,7.8,13.3,-15.0,-0.29,24.2,27.5,31.7,15.6,20.4,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1567.1,3.52,49.7,26.1,44.7,-1.97,32.8,1.5,3.7,-28.2,3.33,17.1,33.6,39.6,24.9,29.3,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1248.7,3.32,44.4,7.5,35.9,0.42,19.2,8.7,20.9,-25.0,0.95,41.7,35.0,32.0,21.1,24.4,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1114.5,4.64,49.1,8.9,37.9,-0.54,32.9,2.8,7.1,-53.7,-4.26,11.4,29.3,28.2,38.4,35.3,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1136.4,3.41,45.0,23.9,89.1,1.85,24.9,0.8,1.6,-41.3,-1.35,39.4,23.2,40.1,25.8,30.0,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2074.7,2.03,46.1,37.2,46.6,-2.39,20.0,0.4,0.9,-88.0,-4.14,12.5,27.9,49.0,32.5,37.4,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1953.4,0.37,26.8,54.9,70.4,4.91,42.9,0.4,0.7,-21.8,2.61,11.5,35.9,54.3,31.6,38.4,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1075.6,3.54,43.1,9.3,81.9,0.77,3.8,4.2,10.4,-21.6,-0.41,18.8,28.4,33.0,4.8,13.2,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2025.5,3.06,50.4,11.6,70.9,-2.22,30.8,5.1,9.7,-58.5,1.06,38.6,21.7,44.4,32.9,36.3,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1232.5,1.94,41.3,10.9,86.7,0.06,39.4,2.5,5.5,-9.2,0.17,10.0,31.5,36.4,26.2,29.3,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1245.2,4.49,40.6,65.0,53.2,-0.56,7.6,0.8,1.9,-11.2,-1.72,25.8,19.2,44.7,11.5,21.5,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),943.2,1.69,15.6,15.9,46.3,-1.25,23.7,11.9,21.5,8.8,2.67,26.7,27.2,27.5,17.8,20.7,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),3275.4,-1.98,63.5,65.0,84.3,1.44,46.6,15.0,35.7,-84.1,-2.7,89.0,32.1,82.5,59.9,66.7,THUNDERSTORM_LIGHTNING
South (Chennai / Bengaluru / Hyderabad / Kochi),3070.9,-0.52,22.9,26.1,40.9,5.41,41.3,0.3,0.8,-75.5,-3.85,40.4,29.8,53.0,45.8,48.0,MODERATE_RAIN_SHOWERS
East (Kolkata / Bhubaneswar / Patna),805.9,4.57,33.3,36.8,75.7,4.61,30.2,1.1,1.3,7.8,1.44,59.3,28.3,35.1,21.4,25.5,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1032.3,3.25,31.0,26.0,98.9,0.94,39.7,3.7,6.7,-21.5,1.6,10.0,32.1,35.9,27.4,29.9,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1644.8,1.99,46.2,18.4,66.2,-1.22,32.1,2.6,6.5,-15.5,0.11,28.4,31.4,40.4,25.5,30.0,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1839.1,3.65,46.8,17.4,68.5,1.12,44.7,2.8,3.6,-12.7,1.57,16.0,42.8,40.3,27.4,31.3,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),601.4,6.22,51.2,5.0,72.5,2.12,12.4,1.3,2.3,-41.5,-2.37,38.5,19.2,27.0,19.2,21.5,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),681.6,4.13,51.9,30.9,81.2,0.95,21.5,0.0,0.0,-29.1,-1.92,10.0,35.1,35.8,21.6,25.9,NORMAL_STABLE
