state,slope_angle,elevation_m,soil_type,fault_dist_km,ndvi,road_cut_idx,rainfall_24h_mm,rainfall_72h_mm,soil_sat_pct,pwp_kpa,tilt_rate_deg_day,pga_seismic_g,layer1_susceptibility,layer2_dynamic_trigger,composite_risk_score,landslide_event
Meghalaya,28.91,839.6,3,6.13,0.71,27.9,3.6,9.6,32.5,48.7,0.025,0.021,45.0,12.0,23.6,0
Manipur,13.3,223.4,1,1.16,0.664,1.2,131.7,233.7,81.1,109.4,0.186,0.012,32.8,61.3,51.3,0
Meghalaya,38.92,1322.6,3,1.03,0.735,25.4,3.5,8.8,29.0,38.9,0.002,0.001,61.8,12.8,29.9,0
Mizoram,35.21,2024.4,3,5.46,0.593,73.5,118.8,260.4,91.3,119.6,2.628,0.003,60.5,78.9,72.4,0
Tripura,16.06,235.7,2,3.32,0.628,91.6,112.3,162.5,73.8,110.7,0.003,0.006,59.8,54.0,56.0,1
Arunachal Pradesh,28.83,3175.5,1,1.2,0.573,15.5,24.4,42.8,18.6,23.5,0.038,0.081,41.7,12.5,22.7,0
Sikkim,53.71,3556.5,2,2.98,0.731,22.4,66.2,104.7,48.7,73.6,0.003,0.015,80.5,38.8,53.4,0
Sikkim,26.89,2973.4,2,2.77,0.706,44.2,72.4,148.8,72.0,112.5,0.068,0.018,62.1,46.8,52.2,0
Meghalaya,36.19,1218.7,2,5.29,0.438,74.8,0.5,1.2,15.5,26.9,0.003,0.022,76.1,5.8,30.4,0
Sikkim,39.49,2469.7,2,0.1,0.517,65.9,238.9,530.7,99.0,164.3,0.499,0.013,81.9,95.9,91.0,1
Manipur,24.62,260.7,1,3.98,0.699,32.8,114.2,212.2,93.8,149.1,0.089,0.032,37.1,68.9,57.8,1
Mizoram,42.54,1326.6,2,4.19,0.627,6.6,15.0,36.1,27.9,47.0,0.016,0.034,67.4,19.7,36.4,0
Mizoram,14.79,1049.6,3,6.16,0.497,25.3,92.1,208.8,98.0,138.3,0.385,0.0,40.8,62.4,54.9,0
Sikkim,29.66,3996.0,2,9.9,0.74,22.0,52.2,78.2,53.2,80.8,0.034,0.033,50.5,33.3,39.3,0
Nagaland,31.2,1752.1,2,2.61,0.482,2.1,82.6,128.1,69.9,87.5,0.045,0.003,68.1,43.2,51.9,1
Assam,29.59,907.6,2,1.89,0.601,97.5,4.1,6.4,30.1,45.6,0.003,0.042,74.6,10.1,32.7,0
Nagaland,29.2,1559.8,3,0.49,0.658,25.5,170.0,314.0,99.0,141.9,0.091,0.0,55.7,88.3,76.9,1
Arunachal Pradesh,33.04,3657.3,2,1.85,0.816,83.7,152.6,337.3,99.0,173.0,1.231,0.026,72.3,87.7,82.3,1
Mizoram,17.28,1209.8,1,0.32,0.668,48.5,119.1,322.1,99.0,136.7,1.107,0.071,35.8,80.3,64.7,1
Arunachal Pradesh,32.27,1970.8,1,7.31,0.745,97.2,84.2,196.7,95.0,153.2,2.766,0.004,42.5,65.3,57.4,0
Sikkim,42.78,3724.3,3,7.4,0.648,15.0,173.3,414.7,99.0,159.6,0.355,0.033,51.4,90.3,76.7,1
Arunachal Pradesh,37.09,2798.8,3,2.43,0.666,11.1,47.8,73.5,56.6,92.1,0.003,0.007,52.5,30.8,38.4,0
Mizoram,27.12,1582.2,2,1.35,0.624,0.2,44.9,69.5,45.7,73.6,0.023,0.01,57.8,29.5,39.4,0
Mizoram,45.05,881.3,1,0.57,0.783,71.8,163.2,260.1,95.8,165.6,0.07,0.02,61.2,84.5,76.4,1
Arunachal Pradesh,35.61,3706.1,2,8.57,0.793,30.6,2.5,5.6,16.7,26.0,0.077,0.035,61.3,8.6,27.0,0
Sikkim,39.05,3727.4,3,9.45,0.573,87.0,7.3,17.7,45.4,77.8,0.012,0.015,54.7,13.9,28.2,0
Meghalaya,26.73,1473.8,2,1.39,0.77,63.4,37.5,94.2,39.6,63.5,0.166,0.029,70.9,27.8,42.9,0
Sikkim,28.46,3111.0,1,4.38,0.683,57.7,201.6,341.7,99.0,171.1,0.944,0.037,38.5,94.9,75.2,1
Arunachal Pradesh,43.94,2304.0,2,1.35,0.657,48.7,117.0,282.2,99.0,162.1,2.531,0.05,79.6,87.0,84.4,1
Sikkim,24.34,1649.8,3,1.15,0.727,25.8,144.5,267.6,99.0,146.0,0.036,0.016,54.2,83.9,73.5,1
Nagaland,35.31,1005.6,1,0.1,0.588,6.5,93.7,204.2,79.3,108.0,0.052,0.009,41.9,56.8,51.5,1
Arunachal Pradesh,14.86,2987.8,2,3.87,0.458,44.4,12.0,25.3,37.1,64.7,0.159,0.024,56.1,17.3,30.9,0
Arunachal Pradesh,40.76,4019.8,2,0.73,0.756,9.9,108.3,162.7,86.7,110.9,0.229,0.049,73.4,64.9,67.9,1
Sikkim,29.19,2028.4,2,0.1,0.635,90.6,63.9,164.8,49.3,84.9,0.002,0.005,71.3,37.7,49.4,0
Assam,14.87,417.2,2,0.5,0.606,82.9,146.3,355.3,99.0,157.5,0.174,0.018,64.1,81.2,75.2,1
Mizoram,30.08,1043.0,2,1.69,0.713,62.0,26.2,61.6,53.1,83.2,0.033,0.008,68.2,27.7,41.9,0
Mizoram,23.65,1220.8,1,4.98,0.604,45.2,59.2,111.0,56.3,85.6,0.095,0.02,33.4,37.3,36.0,0
Sikkim,22.42,3272.9,1,1.02,0.569,45.4,59.8,166.8,88.2,121.4,0.98,0.021,36.9,52.3,46.9,0
Mizoram,30.75,1069.3,2,9.84,0.665,46.5,30.8,45.9,40.5,63.4,0.052,0.051,54.2,23.2,34.1,0
Arunachal Pradesh,44.4,2231.0,1,1.53,0.694,74.5,243.4,443.8,99.0,147.1,0.26,0.012,58.1,92.2,80.3,1
Mizoram,33.58,1437.0,2,1.81,0.686,12.6,12.6,19.9,9.3,13.4,0.002,0.012,65.9,13.1,31.6,0
Manipur,26.71,234.7,2,1.11,0.737,53.1,192.8,333.5,99.0,156.9,0.256,0.077,71.3,94.1,86.2,1
Mizoram,19.87,2120.4,1,1.32,0.758,81.3,75.2,152.3,79.0,98.7,0.005,0.028,40.9,50.5,47.2,1
Manipur,17.64,895.7,2,0.35,0.796,51.0,43.1,97.3,63.5,99.2,0.071,0.007,58.3,36.8,44.3,0
Nagaland,32.24,1115.1,2,1.57,0.553,1.4,3.5,5.4,22.4,40.4,0.026,0.015,66.9,11.3,30.8,0
Arunachal Pradesh,30.74,2609.1,2,8.84,0.738,24.5,13.5,29.9,14.7,18.0,0.039,0.008,61.5,8.4,27.0,0
Manipur,20.46,400.8,2,5.25,0.62,66.9,82.8,206.2,99.0,147.0,0.133,0.017,58.7,63.6,61.9,1
Arunachal Pradesh,46.97,2061.3,3,9.37,0.712,93.4,58.6,157.5,91.0,133.9,0.417,0.031,61.5,57.8,59.1,1
Meghalaya,35.52,1455.3,2,0.5,0.646,89.4,229.8,388.8,99.0,123.2,0.181,0.005,76.7,90.8,85.8,1
Arunachal Pradesh,48.3,2087.2,2,2.74,0.771,82.3,22.7,60.3,45.7,68.4,0.008,0.007,75.1,22.2,40.8,0
Arunachal Pradesh,40.41,2904.2,1,1.17,0.745,95.0,101.2,265.1,99.0,127.7,0.508,0.005,53.3,73.0,66.1,1
Meghalaya,31.29,1361.0,1,5.75,0.795,28.0,203.7,365.6,99.0,167.6,1.083,0.003,32.7,94.0,72.5,1
Sikkim,50.91,2418.3,1,15.82,0.712,1.2,152.3,359.9,99.0,172.3,0.109,0.003,45.1,83.2,69.9,1
Meghalaya,32.82,1050.2,3,7.6,0.516,35.4,159.3,377.6,99.0,167.7,1.25,0.018,51.7,89.7,76.4,1
Meghalaya,44.39,1797.8,2,0.16,0.713,57.7,30.7,83.7,60.4,106.1,0.026,0.002,82.0,32.7,50.0,1
Arunachal Pradesh,45.73,3881.4,1,1.71,0.717,31.6,3.8,6.5,6.5,10.4,0.041,0.019,51.0,1.4,18.7,0
Arunachal Pradesh,32.38,4087.5,3,0.13,0.631,4.4,175.2,267.9,99.0,168.9,0.178,0.026,54.3,92.5,79.2,1
Meghalaya,30.6,1409.0,1,0.18,0.824,50.7,59.3,129.5,58.2,87.3,0.045,0.017,47.7,37.2,40.9,0
Sikkim,50.83,2975.6,1,0.37,0.67,20.0,12.2,21.5,26.5,44.4,0.057,0.003,62.6,15.8,32.2,0
Nagaland,39.83,1087.4,2,1.46,0.686,72.8,8.4,14.5,9.9,17.5,0.042,0.025,76.5,6.8,31.2,0
Mizoram,37.16,1574.2,2,1.63,0.617,8.9,106.8,287.4,93.8,134.0,1.497,0.068,74.9,76.3,75.8,0
Manipur,23.71,539.7,2,2.3,0.719,95.8,22.5,54.2,19.1,32.5,0.029,0.019,65.1,16.4,33.5,0
Mizoram,23.06,2135.1,2,2.34,0.822,87.7,25.0,58.5,35.1,52.2,0.02,0.012,68.8,17.4,35.4,0
Meghalaya,24.42,1897.1,2,6.64,0.414,87.4,28.7,78.3,25.4,39.8,0.043,0.007,63.5,22.2,36.6,0
Mizoram,33.64,1034.3,3,0.69,0.628,79.0,32.2,48.2,26.5,45.8,0.026,0.023,66.0,19.1,35.5,0
Sikkim,55.99,4141.8,3,0.77,0.689,63.4,9.8,21.8,26.0,44.9,0.031,0.026,85.2,12.6,38.0,0
Sikkim,30.89,2833.3,3,4.43,0.652,5.3,38.8,80.8,44.3,72.9,0.035,0.016,48.9,25.1,33.5,0
Nagaland,30.14,2023.6,3,3.82,0.672,66.2,3.2,5.9,19.8,27.4,0.032,0.006,59.0,8.9,26.5,0
Meghalaya,29.66,854.6,2,0.75,0.782,74.7,5.4,12.0,20.7,26.0,0.016,0.068,70.6,9.3,30.8,0
Nagaland,35.96,1986.9,2,8.61,0.762,13.1,55.9,141.0,62.1,111.2,0.025,0.003,54.3,40.6,45.4,0
Nagaland,33.91,1604.2,2,1.8,0.821,61.6,59.2,129.3,54.9,84.7,0.153,0.066,69.9,43.0,52.4,0
Manipur,26.18,831.8,3,2.06,0.604,47.9,13.9,22.9,25.8,32.6,0.027,0.001,57.3,10.6,26.9,0
Manipur,21.75,597.5,2,2.45,0.816,47.2,111.5,244.1,99.0,175.8,0.038,0.006,58.5,73.1,68.0,1
Meghalaya,33.5,2154.7,1,1.75,0.518,19.9,2.5,4.2,8.2,12.1,0.002,0.019,39.6,3.7,16.3,0
Sikkim,37.99,2546.4,3,3.67,0.53,73.9,144.8,233.4,99.0,176.0,0.756,0.017,66.9,81.8,76.6,1
Mizoram,40.38,1658.3,3,2.21,0.724,92.5,32.0,69.3,36.9,52.4,0.055,0.019,76.0,20.3,39.8,0
Sikkim,38.09,3851.4,3,1.35,0.621,78.8,103.4,160.1,56.1,98.0,0.036,0.025,63.4,49.9,54.6,1
Mizoram,27.18,1098.8,1,10.57,0.616,36.9,0.1,0.2,22.9,39.2,0.052,0.002,26.1,8.4,14.6,0
Mizoram,36.69,1400.0,2,1.66,0.673,98.4,23.4,54.1,49.8,73.8,0.022,0.021,78.3,24.4,43.3,0
Mizoram,31.22,1301.7,2,5.4,0.77,36.4,104.5,231.7,77.1,107.0,0.004,0.026,56.2,63.0,60.6,0
Sikkim,45.62,3206.4,2,1.92,0.729,23.4,97.9,203.4,66.9,110.0,0.027,0.035,78.8,57.6,65.0,1
Arunachal Pradesh,14.71,3661.9,1,2.57,0.509,96.8,9.8,17.1,39.3,67.2,0.036,0.023,36.3,20.0,25.7,0
Meghalaya,41.21,1547.2,2,1.21,0.785,79.0,155.2,282.6,96.8,118.7,0.31,0.009,81.3,80.7,80.9,1
Arunachal Pradesh,36.31,2413.9,1,6.28,0.616,76.1,21.6,36.9,17.8,23.7,0.128,0.028,46.6,12.5,24.4,0
Manipur,27.65,602.2,2,6.01,0.65,7.7,42.6,91.1,54.7,79.7,0.064,0.005,55.3,33.5,41.1,0
Sikkim,45.86,1652.9,3,0.1,0.735,19.2,87.9,232.3,78.5,104.1,0.045,0.002,73.4,57.8,63.3,1
Arunachal Pradesh,33.47,2263.1,3,0.28,0.822,1.9,14.1,36.4,36.3,49.5,0.008,0.013,56.1,14.4,29.0,0
Arunachal Pradesh,31.04,3318.2,1,11.5,0.673,77.7,73.7,185.8,83.6,126.1,0.988,0.011,40.1,53.2,48.6,0
Mizoram,25.74,1539.1,2,9.88,0.426,27.8,17.8,31.9,12.6,18.0,0.017,0.021,57.8,12.8,28.6,0
Mizoram,24.27,1102.3,1,3.17,0.516,13.2,74.4,153.2,46.0,81.1,0.008,0.019,29.6,42.6,38.1,0
Sikkim,47.87,3162.8,1,3.06,0.755,18.2,280.0,545.5,99.0,168.8,0.03,0.001,49.6,90.5,76.2,1
Arunachal Pradesh,36.43,2289.3,3,7.53,0.45,64.1,35.0,74.8,58.2,77.1,0.101,0.02,60.5,31.4,41.6,0
Sikkim,52.33,4127.8,3,0.67,0.658,43.3,142.9,289.0,99.0,175.1,0.413,0.007,76.1,80.1,78.7,1
Sikkim,32.51,3911.5,3,4.77,0.351,94.1,20.2,41.2,23.5,31.3,0.154,0.027,63.9,13.9,31.4,0
Mizoram,28.65,885.1,2,2.91,0.798,36.6,90.4,135.2,52.0,81.0,0.005,0.013,63.1,43.4,50.3,0
Mizoram,35.61,1132.0,3,6.12,0.759,83.4,50.4,84.8,51.9,71.9,0.006,0.019,54.2,35.8,42.3,0
Sikkim,51.79,3185.7,1,0.14,0.761,54.6,36.3,69.8,43.2,59.2,0.014,0.019,68.3,24.3,39.7,0
Arunachal Pradesh,33.58,2141.6,1,4.04,0.762,70.5,58.1,100.3,45.4,69.2,0.16,0.01,44.6,30.9,35.7,0
Tripura,24.79,833.5,1,3.66,0.727,16.9,63.4,166.6,56.7,100.3,0.011,0.014,33.1,44.3,40.3,0
Meghalaya,32.04,1252.5,3,8.27,0.695,74.9,9.7,25.9,31.7,46.0,0.059,0.014,53.0,12.9,26.9,0
Mizoram,35.7,1057.2,1,5.08,0.567,8.6,7.8,18.4,16.9,23.2,0.013,0.027,42.5,6.9,19.4,0
Arunachal Pradesh,31.47,2881.0,1,9.55,0.473,69.1,280.0,765.8,99.0,133.7,0.509,0.01,36.3,87.6,69.6,1
Meghalaya,36.8,2122.8,2,9.82,0.807,46.6,9.2,14.4,8.0,11.1,0.055,0.016,58.9,8.6,26.2,0
Arunachal Pradesh,35.77,1516.5,1,2.36,0.689,22.9,28.1,53.0,51.3,75.2,0.041,0.015,39.9,26.1,30.9,0
Meghalaya,28.95,2072.2,1,0.67,0.72,48.0,182.8,507.8,99.0,170.7,1.203,0.007,41.4,91.9,74.2,1
Assam,19.8,566.6,1,4.48,0.68,85.6,24.3,56.2,43.2,60.0,0.199,0.082,35.4,22.3,26.9,0
Sikkim,43.02,3370.9,1,9.31,0.702,15.5,32.5,89.1,55.8,76.1,0.015,0.002,38.1,29.8,32.7,0
Arunachal Pradesh,36.67,3842.6,2,0.35,0.638,17.0,72.1,122.2,37.1,57.3,0.039,0.009,74.3,35.6,49.2,0
Arunachal Pradesh,34.37,4130.7,2,3.67,0.818,53.4,18.7,38.1,19.3,30.0,0.042,0.066,67.5,16.6,34.4,0
Sikkim,36.94,1546.4,1,0.55,0.683,62.5,25.4,44.7,34.8,51.1,0.008,0.02,59.3,19.5,33.4,1
Arunachal Pradesh,36.74,1527.2,1,0.12,0.532,42.0,18.2,48.5,9.1,12.0,0.01,0.003,55.0,6.5,23.5,0
Arunachal Pradesh,42.29,3360.7,3,5.12,0.51,26.6,94.9,217.9,74.4,97.8,0.051,0.002,61.6,55.7,57.8,1
Nagaland,29.43,1591.8,2,5.15,0.407,6.7,28.7,67.5,52.0,78.6,0.027,0.009,57.7,26.2,37.2,0
Meghalaya,29.27,1692.2,2,4.13,0.477,5.0,132.1,296.7,99.0,135.7,0.103,0.003,62.3,81.0,74.5,0
Sikkim,31.53,4089.3,2,8.82,0.771,4.1,90.9,228.1,95.6,123.4,0.918,0.019,55.7,69.9,64.9,1
Manipur,23.43,674.9,1,0.38,0.817,90.1,187.4,396.1,99.0,120.4,0.82,0.024,39.0,92.0,73.5,1
Arunachal Pradesh,39.17,2618.5,3,0.5,0.735,13.1,84.1,219.9,99.0,126.8,1.662,0.053,64.9,70.5,68.5,0
Assam,27.14,979.5,2,9.0,0.486,29.5,109.2,159.2,83.7,142.2,0.049,0.003,53.2,57.5,56.0,0
Sikkim,46.86,4073.9,1,3.15,0.586,98.6,18.4,46.4,33.2,43.0,0.037,0.002,58.7,18.4,32.5,0
Manipur,21.4,707.8,2,1.44,0.627,92.7,67.1,95.6,32.5,39.0,0.035,0.02,67.0,26.8,40.9,0
Mizoram,31.34,856.0,2,6.03,0.692,4.3,62.1,115.7,46.4,66.6,0.072,0.006,58.2,38.5,45.4,0
Nagaland,32.06,1081.2,1,10.12,0.704,55.1,2.3,4.7,16.6,29.1,0.013,0.008,31.9,5.8,14.9,0
Tripura,16.48,374.4,3,5.26,0.388,63.3,85.8,186.5,85.9,130.0,0.634,0.004,50.1,59.2,56.0,0
Sikkim,31.62,2472.2,3,7.06,0.631,5.4,38.3,102.0,34.6,41.7,0.014,0.009,47.6,23.5,31.9,0
Assam,14.72,138.1,1,1.49,0.831,72.8,195.8,520.8,99.0,160.9,1.209,0.007,29.1,100.0,75.2,1
Sikkim,36.52,3319.7,2,1.53,0.707,98.8,40.6,103.4,52.7,76.0,0.059,0.036,79.7,33.4,49.6,1
Sikkim,17.98,3213.0,3,8.98,0.633,42.9,61.1,169.7,71.3,118.4,0.023,0.003,40.7,45.3,43.7,0
Sikkim,51.38,3734.7,1,4.29,0.622,44.9,59.7,108.4,84.3,131.3,0.001,0.011,60.0,48.8,52.7,0
Meghalaya,45.35,2135.0,2,1.2,0.657,65.9,30.7,74.7,33.0,42.3,0.213,0.009,81.0,24.0,43.9,0
Arunachal Pradesh,29.69,3767.0,2,3.34,0.541,73.7,37.0,55.1,45.1,66.9,0.107,0.004,68.7,26.7,41.4,0
Meghalaya,45.21,1047.9,2,5.21,0.672,79.0,3.3,6.1,15.0,23.0,0.042,0.008,77.2,8.9,32.8,0
Meghalaya,25.24,1584.7,3,1.11,0.795,7.8,218.8,405.4,99.0,148.5,0.049,0.027,49.9,88.9,75.2,1
Nagaland,32.1,2098.7,3,4.79,0.538,80.1,50.5,89.1,30.1,50.4,0.098,0.033,61.1,27.0,39.0,0
Nagaland,34.7,1370.3,3,0.19,0.661,86.4,120.0,332.2,99.0,169.3,0.102,0.009,70.9,76.5,74.6,1
Meghalaya,32.69,1184.4,2,1.63,0.35,4.5,12.6,34.3,28.6,45.8,0.097,0.01,62.6,16.7,32.8,0
Sikkim,33.56,1587.7,3,5.04,0.354,3.9,0.2,0.4,27.3,33.4,0.058,0.021,52.6,12.5,26.6,0
Sikkim,33.18,3650.7,1,0.73,0.463,55.1,88.4,169.7,68.8,97.2,0.021,0.016,52.9,51.1,51.7,0
Arunachal Pradesh,44.89,2278.2,2,1.13,0.601,49.7,17.1,35.7,37.6,53.4,0.076,0.014,82.4,20.1,41.9,0
Arunachal Pradesh,48.39,3147.0,1,9.51,0.645,98.0,51.7,103.4,33.0,44.1,0.03,0.032,48.7,29.1,35.9,0
Sikkim,23.82,3013.3,2,5.05,0.729,29.4,29.1,53.1,37.1,54.1,0.01,0.047,59.0,21.0,34.3,0
Sikkim,40.14,2590.1,1,3.11,0.761,59.0,83.3,147.3,63.9,83.9,0.057,0.008,50.5,47.0,48.2,0
Assam,23.59,876.1,3,1.07,0.688,50.7,4.1,11.0,29.4,48.6,0.045,0.001,54.6,10.5,26.0,0
Meghalaya,33.28,2130.8,2,1.88,0.708,53.6,55.2,92.9,65.9,112.0,0.042,0.009,66.5,37.0,47.3,0
Sikkim,26.83,3188.6,1,3.84,0.679,66.0,93.5,183.0,76.2,134.2,0.04,0.007,42.3,58.1,52.6,0
Mizoram,35.61,1975.1,3,0.76,0.716,53.8,24.6,58.3,41.8,50.5,0.029,0.022,60.0,22.1,35.3,0
Arunachal Pradesh,47.06,4050.1,3,2.96,0.473,0.7,15.3,42.4,22.8,34.8,0.133,0.032,67.3,12.9,32.0,0
Meghalaya,26.58,1477.6,2,2.37,0.607,84.4,26.5,63.5,28.4,37.6,0.216,0.008,67.1,22.6,38.2,0
Mizoram,28.27,1782.6,1,2.91,0.658,20.1,70.0,151.2,71.9,109.2,0.084,0.002,44.6,47.8,46.7,0
Meghalaya,33.4,1773.0,3,0.5,0.593,23.1,211.2,432.8,99.0,123.0,0.202,0.009,59.9,85.1,76.3,1
Sikkim,37.43,2583.6,3,0.51,0.791,64.8,3.1,7.0,9.6,16.0,0.073,0.013,61.9,2.5,23.3,0
Tripura,16.83,252.9,2,14.97,0.624,47.8,33.8,79.9,39.8,54.9,0.087,0.006,46.3,23.3,31.3,0
Manipur,13.24,195.7,2,17.46,0.76,57.4,153.5,428.4,99.0,152.5,0.829,0.009,46.9,86.2,72.5,0
Mizoram,28.84,1086.7,2,2.5,0.755,49.7,122.5,231.4,96.1,161.2,1.015,0.016,69.4,80.7,76.8,1
Meghalaya,17.99,1222.0,3,7.0,0.626,41.8,9.0,15.3,34.0,49.7,0.128,0.027,39.8,8.8,19.6,0
Mizoram,36.32,1797.6,2,4.8,0.659,48.3,159.3,317.9,99.0,177.8,0.129,0.016,71.2,89.5,83.1,1
Arunachal Pradesh,32.28,3214.4,1,0.56,0.755,14.1,15.4,26.9,19.6,33.0,0.098,0.01,43.9,15.8,25.6,0
Sikkim,44.64,4117.7,3,1.58,0.689,96.9,10.3,15.2,28.9,42.0,0.043,0.044,68.5,7.6,28.9,0
Arunachal Pradesh,36.17,1968.8,1,1.69,0.614,57.5,30.0,82.7,33.6,54.5,0.057,0.026,46.8,24.6,32.4,0
Meghalaya,32.99,927.8,3,4.08,0.815,28.7,47.9,71.2,45.6,73.0,0.083,0.039,49.8,36.3,41.1,0
Meghalaya,21.33,1411.0,2,3.9,0.765,71.3,83.1,172.3,70.1,85.9,0.118,0.024,61.5,49.7,53.8,1
Sikkim,43.9,2393.5,2,11.57,0.815,88.0,16.3,33.8,69.8,99.3,0.05,0.008,66.6,27.2,41.0,1
Assam,35.44,588.2,1,7.02,0.753,29.6,2.3,3.9,18.5,28.1,0.049,0.014,37.1,1.0,13.7,0
Manipur,17.83,159.8,3,8.75,0.713,32.5,147.3,325.2,99.0,143.5,0.019,0.028,40.1,78.2,64.9,1
Nagaland,32.86,1572.6,3,9.98,0.699,43.9,167.2,427.1,99.0,129.6,4.18,0.044,50.0,97.7,81.0,1
Meghalaya,33.72,1784.7,3,7.27,0.222,21.7,94.7,248.8,99.0,158.1,0.279,0.018,56.9,67.1,63.5,1
Manipur,12.54,282.2,2,1.82,0.691,81.0,4.8,9.2,30.8,55.2,0.073,0.022,59.5,13.2,29.4,0
Arunachal Pradesh,29.37,3156.3,1,1.09,0.783,58.4,0.5,0.8,24.0,33.7,0.007,0.038,46.3,9.7,22.5,0
Nagaland,35.77,1376.7,2,3.82,0.342,5.7,72.5,152.9,73.9,131.3,0.011,0.011,66.5,50.9,56.3,1
Arunachal Pradesh,31.42,1803.1,2,5.26,0.781,99.7,46.1,72.3,27.6,45.7,0.051,0.011,73.3,22.7,40.4,0
Nagaland,30.43,1817.4,2,2.2,0.634,57.5,36.6,94.7,52.5,73.3,0.021,0.053,72.0,31.8,45.9,1
Sikkim,39.22,3432.8,3,8.49,0.496,89.0,34.3,70.1,49.0,71.1,0.048,0.04,63.6,26.7,39.6,0
Manipur,23.45,785.8,2,14.55,0.773,50.2,66.9,176.9,74.7,117.8,0.031,0.017,52.0,54.8,53.8,1
Assam,18.97,923.4,3,3.79,0.735,58.2,15.6,22.7,37.4,61.7,0.03,0.08,46.3,22.6,30.9,0
Arunachal Pradesh,36.75,1878.7,3,2.74,0.808,45.4,22.2,57.3,41.2,67.9,0.03,0.068,61.8,24.3,37.5,0
Meghalaya,48.44,1560.9,1,8.33,0.593,42.3,3.6,6.4,30.2,47.8,0.021,0.019,45.3,4.8,19.0,0
Tripura,25.7,189.2,3,0.11,0.731,21.8,37.6,102.9,56.5,71.6,0.027,0.008,51.0,34.0,39.9,1
Meghalaya,29.65,1353.9,2,0.62,0.583,96.2,241.5,364.2,99.0,169.5,1.886,0.003,76.9,96.9,89.9,1
Manipur,19.19,269.7,3,8.41,0.655,18.2,15.0,38.7,38.1,51.8,0.019,0.011,33.5,17.0,22.8,0
Mizoram,44.68,1545.0,2,5.93,0.733,52.6,119.2,255.9,84.2,110.0,1.167,0.03,73.1,71.6,72.2,1
Sikkim,42.92,2672.4,2,2.42,0.788,8.7,58.8,98.3,60.5,80.2,0.043,0.009,70.6,36.6,48.5,0
Sikkim,47.26,2092.3,1,9.89,0.573,99.3,12.0,24.0,39.8,48.8,0.051,0.007,51.0,15.3,27.8,0
Arunachal Pradesh,34.95,3482.4,3,1.95,0.735,55.6,48.9,89.3,44.5,73.1,0.029,0.023,57.1,29.1,38.9,0
Nagaland,28.71,1216.2,3,4.52,0.43,81.5,20.5,35.6,31.1,38.3,0.006,0.019,59.8,20.1,34.0,0
Sikkim,50.74,2770.5,1,4.53,0.655,56.3,5.9,13.3,31.7,38.9,0.1,0.021,60.2,9.7,27.4,0
Meghalaya,31.56,1505.8,3,0.92,0.425,80.5,4.4,10.3,24.7,29.6,0.084,0.001,74.2,12.8,34.3,0
Meghalaya,31.45,1988.8,2,1.51,0.689,53.4,0.8,1.2,22.3,26.8,0.043,0.012,66.7,8.9,29.1,0
Meghalaya,29.05,901.8,3,11.15,0.401,44.5,195.6,472.4,99.0,159.2,0.105,0.033,45.9,94.0,77.1,1
Manipur,26.27,611.9,1,0.91,0.564,45.6,97.3,201.9,84.5,126.6,0.867,0.084,46.8,65.0,58.6,1
Tripura,26.93,996.4,2,0.86,0.371,0.2,29.6,63.5,40.1,64.2,0.076,0.003,66.3,22.1,37.6,0
Sikkim,39.65,2872.0,2,2.94,0.766,37.1,191.0,466.2,99.0,132.6,0.256,0.026,73.6,95.5,87.8,1
Nagaland,24.51,806.7,1,0.44,0.791,95.2,152.5,305.8,99.0,161.5,1.187,0.008,42.9,84.9,70.2,1
Nagaland,28.31,1512.8,2,10.13,0.655,67.6,54.3,121.2,52.6,73.0,0.048,0.01,60.0,31.4,41.5,0
Meghalaya,40.91,1506.4,2,0.47,0.803,91.9,17.6,37.3,40.2,60.3,0.003,0.017,78.0,23.4,42.5,0
Assam,21.3,924.8,1,4.31,0.557,20.0,7.8,12.2,5.9,10.1,0.01,0.003,33.7,4.1,14.5,0
Arunachal Pradesh,46.98,1900.4,2,1.87,0.722,49.1,25.3,50.6,40.3,49.9,0.134,0.003,87.2,17.9,42.2,0
Arunachal Pradesh,41.38,3809.4,3,7.34,0.491,3.4,53.7,138.1,70.5,120.8,0.128,0.004,60.9,43.8,49.8,1
Manipur,14.27,270.8,2,4.01,0.658,67.7,226.0,325.8,99.0,138.5,0.604,0.003,62.4,91.7,81.4,1
Meghalaya,35.55,2097.1,1,2.21,0.596,78.4,4.2,6.1,11.7,15.8,0.015,0.0,43.5,4.6,18.2,0
Manipur,19.76,382.1,2,18.57,0.244,74.8,39.9,107.9,61.4,104.9,0.1,0.052,53.8,39.8,44.7,1
Manipur,16.99,698.6,2,0.31,0.741,8.7,2.5,6.4,39.1,63.2,0.089,0.055,52.2,17.1,29.4,0
Arunachal Pradesh,34.41,2652.6,3,3.88,0.693,24.8,78.4,110.1,25.2,34.8,0.194,0.002,56.0,31.7,40.2,0
Manipur,26.17,983.7,3,20.53,0.396,65.6,49.5,133.9,71.9,116.4,0.025,0.081,45.0,46.1,45.7,0
Meghalaya,33.76,1414.3,1,5.28,0.631,75.9,53.7,97.5,62.8,109.3,0.074,0.013,44.0,39.0,40.8,0
Meghalaya,33.26,1127.7,2,6.06,0.565,27.4,64.5,131.1,51.4,88.6,0.049,0.001,60.7,39.1,46.7,0
